TIN;SI;Title;TIN_TYPE
TIN-1;Service Instructions for Geospatial Information;Geospatial Data Dissemination;Federation
TIN-10;Service Instructions for Web Hosting;Content Syndication (Web Feeds);Consumer-Provider
TIN-100;Service Instructions for Protected Core Networking;PCN-2 Interface;Consumer-Provider
TIN-102;Service Instructions for Communications Transport;Public Network Transport Service;Federation
TIN-103;Service Instructions for Communications Transport;Military Network Transport Service;Federation
TIN-104;Service Instructions for Protected Core Networking;Inter-PCS Unicast Routing;Federation
TIN-105;Service Instructions for Modelling and Simulation;Exchange of electronic ORBAT data between C2 and simulation systems;Federation
TIN-106;Service Instructions for Communications;Consumer to Provider Inter-domain Multicast Signalling;Consumer-Provider
TIN-107;Service Instructions for Communications;Consumer to Provider Inter-domain Routing;Consumer-Provider
TIN-108;Service Instructions for Data Links;JREAP Point to Point;Federation
TIN-109;Service Instructions for Data Links;JREAP Gateway;Consumer-Provider
TIN-11;Service Instructions for Informal Messaging;Email routing;Federation
TIN-110;Service Instructions for Data Links;JREAP Hub;Mediation
TIN-112;Service Instructions for Communications;Communications Service Consumer Interface;Consumer-Provider
TIN-113;Service Instructions for Protected Core Networking;Protected Core P-functionality;Consumer-Provider
TIN-114;Service Instructions for Domain Naming;Anycast DNS Advertising;Consumer-Provider
TIN-116;Service Instructions for Protected Core Networking;PCSOP Information Exchange;Federation
TIN-117;Service Instructions for Protected Core Networking;Consumer to Provider PCSOP Information Exchange;Consumer-Provider
TIN-118;Service Instructions for Protected Core Networking;NMCD Administrative Information Exchange;Consumer-Provider
TIN-119;Service Instructions for Audio and Video-based Collaboration;Push-To-Talk Tactical Voice;Federation
TIN-122;Service Instructions for Text-based Collaboration;Presence Sharing;Consumer-Provider
TIN-124;Service Instructions for Text-based Collaboration;Information Discovery;Federation
TIN-127;Service Instructions for Text-based Collaboration;Exchange of Data Forms;Federation
TIN-13;Service Instructions for Calendaring and Scheduling;Calendar Dissemination;Consumer-Provider
TIN-138;Service Instructions for Text-based Collaboration;Instant Messaging;Federation
TIN-14;Service Instructions for Calendaring and Scheduling;Event Scheduling;Consumer-Provider
TIN-141;Service Instructions for Text-based Collaboration;Publish-Subscribe;Federation
TIN-142;Service Instructions for Audio and Video-based Collaboration;Push-To-Talk Tactical Voice Relay;Federation
TIN-143;Service Instructions for Communications Transport;Information exchange over WB LOS;Federation
TIN-144;Service Instructions for Communications Transport;Information exchange over NB LOS;Federation
TIN-145;Service Instructions for Communications Transport;Information exchange over NB BLOS;Federation
TIN-146;Service Instructions for Communications Transport;Information exchange over NHDRWF;Federation
TIN-147;Service Instructions for Communications Transport;Information exchange over NBWF;Federation
TIN-148;Service Instructions for Communications Transport;Information exchange over SATURN;Federation
TIN-149;Service Instructions for Communications Transport;Information exchange over TACSAT IW;Federation
TIN-15;Service Instructions for Virtualized Processing;Virtual Machine Hosting;Consumer-Provider
TIN-151;Service Instructions for Communications;Exchange of data packets between attached IP networks across Tactical Radio Network;Consumer-Provider
TIN-152;Service Instructions for Communications;Tactical IP Routing and Forwarding;Federation
TIN-153;Service Instructions for Geospatial Information;Geospatial Web Services;Consumer-Provider
TIN-16;Service Instructions for Virtualized Processing;Virtual Machine Management;Consumer-Provider
TIN-162;Service Instructions for Communications;Inter-domain Routing;Federation
TIN-163;Service Instructions for Communications;Inter-domain Multicast;Federation
TIN-165;Service Instructions for Digital Certificates;Digital Certificate Validation;Consumer-Provider
TIN-166;Service Instructions for Digital Certificates;Trust Management;Consumer-Provider
TIN-169;Service Instructions for Friendly Force Tracking;FFI MTF Exchange;Federation
TIN-17;Service Instructions for Overlay Distribution;NVG Overlay Exchange via Files;Consumer-Provider
TIN-172;Service Instructions for Ground-to-Air Information Exchange;Consume Link-16 messages;Consumer-Provider
TIN-173;Service Instructions for Ground-to-Air Information Exchange;Provide Link-16 messages;Consumer-Provider
TIN-174;Service Instructions for Ground-to-Air Information Exchange;Consume FFI MTF messages;Consumer-Provider
TIN-18;Service Instructions for Overlay Distribution;KML Overlay Exchange via Files;Consumer-Provider
TIN-181;Service Instructions for Audio and Video-based Collaboration;Call Signaling;Federation
TIN-182;Service Instructions for Audio and Video-based Collaboration;Media Exchange;Federation
TIN-183;Service Instructions for Audio and Video-based Collaboration;Call Routing;Federation
TIN-187;Service Instructions for Audio and Video-based Collaboration;Multi-Level Precedence and Pre-emption;Federation
TIN-19;Service Instructions for Overlay Distribution;NVG Overlay Exchange via Web Services;Consumer-Provider
TIN-196;Service Instructions for Land Tactical C2 Information Exchange;JDSS Message Exchange;Consumer-Provider
TIN-198;Service Instructions for Audio and Video-based Collaboration;Media Infrastructure Security;Federation
TIN-2;Service Instructions for Geospatial Information;Geospatial Products Registration and Discovery;Consumer-Provider
TIN-20;Service Instructions for Distributed Time;Federation Time Distribution;Consumer-Provider
TIN-21;Service Instructions for Maritime C2 Information Exchange;OTH-T-Gold Message Exchange;Consumer-Provider
TIN-22;Service Instructions for Maritime C2 Information Exchange;MTF Exchange - Maritime Tasking and Reporting;Consumer-Provider
TIN-225;Service Instructions for Service Management and Control;Service Catalogue Management API;Federation
TIN-226;Service Instructions for Service Management and Control;Incident Management API;Federation
TIN-227;Service Instructions for Service Management and Control;Change Management API;Federation
